Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2002","2002","Int$/cap","70631.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2003","2003","Int$/cap","71331.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2004","2004","Int$/cap","70415.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2005","2005","Int$/cap","69482.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2006","2006","Int$/cap","71352.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2007","2007","Int$/cap","70342.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2008","2008","Int$/cap","67934.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2009","2009","Int$/cap","65753.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2010","2010","Int$/cap","66484.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2011","2011","Int$/cap","68037.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2012","2012","Int$/cap","67792.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2013","2013","Int$/cap","65534.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2014","2014","Int$/cap","63131.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2015","2015","Int$/cap","62170.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2016","2016","Int$/cap","59981","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","Int$/cap","60173.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","59650.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2019","2019","Int$/cap","61424.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","61603.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2021","2021","Int$/cap","60127","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","","E","Estimated value",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","","E","Estimated value",""
